group_id,user_id,item_id,score,label
0,0,83,1.0569703704111264,0
0,0,38,-0.5901795522479711,0
0,0,53,-0.3878643429639589,0
0,0,76,-0.0465393548848723,0
0,0,24,0.5153869030093756,1
0,0,15,0.31552321232372266,0
0,0,49,-0.9821457023835893,0
0,0,23,-2.206913164220223,1
0,0,26,-2.451802742558557,0
0,0,30,-1.2952754883901993,1
0,0,43,0.05860557873569481,0
0,0,30,-0.5595638396905025,0
0,0,26,1.0148493337119362,0
0,0,58,-0.5570245385033175,0
0,0,92,-0.07051305197034868,0
0,0,69,0.32539432310731303,0
1,1,37,1.230840780046591,0
1,1,38,2.000744546860983,0
1,1,7,-0.6721938986233367,0
2,2,0,0.913887719275848,0
2,2,98,0.15762162252665407,1
2,2,90,-0.2935548184737902,0
2,2,33,0.11155996863417098,0
2,2,21,0.5976785405949819,0
2,2,71,-0.19389814975720346,1
2,2,68,1.8041718973679621,0
2,2,81,-0.17152003382656572,0
2,2,52,-0.15305462181918017,0
2,2,64,1.4447208956663082,0
3,3,84,0.3257708510098012,0
3,3,35,0.1968947838394229,1
3,3,18,-0.11313817981633564,0
3,3,76,-1.0008893073927043,1
3,3,69,1.4351033705784695,0
3,3,81,0.028339859164654046,0
3,3,80,1.91753688106624,0
3,3,8,0.532869422819791,0
3,3,75,0.7217655109498857,0
3,3,15,0.6108627891103895,0
3,3,20,-0.178839042623095,0
3,3,16,1.7770915013070316,0
3,3,64,1.7863069490331553,0
3,3,61,0.5622924622238564,0
4,4,54,-1.2882132075196266,0
4,4,17,1.881885315086314,0
4,4,41,-0.8413890030174253,0
4,4,47,-1.233117183296215,1
4,4,19,1.446579415520431,0
4,4,43,-1.537727130837398,0
4,4,44,-1.081293928115127,0
4,4,35,-0.4463528515392761,0
4,4,42,-1.1528526502449,0
5,5,71,-1.437312123513709,1
5,5,81,-1.0881117774341602,0
5,5,4,-0.7779182397462238,1
5,5,3,1.3600752066816848,1
5,5,88,0.9025997397359657,0
5,5,46,1.480276638418454,1
5,5,94,-0.4640990848671378,0
5,5,47,1.75489802161381,0
5,5,63,-0.18455829293693488,0
5,5,84,1.7427608542923991,0
5,5,5,-0.09058541154073928,0
5,5,83,-0.10306473182311876,0
5,5,72,1.3088966734212037,0
5,5,72,-1.6352755300684574,1
5,5,63,0.29658869958079326,1
5,5,56,0.8855535292976375,0
5,5,14,-1.7163863812799303,0
5,5,81,-0.4766326506117975,0
6,6,87,-2.14785503764361,0
6,6,74,-1.347532513457755,1
6,6,76,1.2723950785462097,0
6,6,58,-1.4495666088633876,0
6,6,0,-0.4145048435321895,0
6,6,42,-1.4257947334380214,0
6,6,17,-1.4731164134656474,0
6,6,49,-0.896580615301871,1
7,7,76,-0.5246273459284702,0
7,7,12,0.07187803937036874,0
7,7,33,0.5130821444669919,0
7,7,85,-0.5464162802735939,0
7,7,4,1.4599274815852936,0
7,7,49,1.0154054578125205,1
7,7,46,0.4402663916687296,0
7,7,55,0.6889718563269422,0
7,7,99,0.4112040207072239,0
7,7,19,0.8907649561731171,0
7,7,47,-0.387886231967176,0
7,7,42,-0.08710696996399898,1
7,7,48,0.1211718053315409,0
7,7,90,0.2989839355420466,0
7,7,48,-1.2476529230512328,0
7,7,2,0.24945521515244942,0
8,8,80,0.9327127805506003,1
8,8,87,-0.39351020178409735,0
8,8,84,-0.4472174372868807,0
8,8,42,1.0439211470677425,0
8,8,26,0.628921508914823,0
8,8,91,-0.7110229871688873,0
8,8,97,3.182062470691614,0
8,8,94,-1.2411689296107822,1
8,8,85,0.22282386574000015,0
8,8,25,-2.210181375098104,1
8,8,44,-1.8491335199863883,0
8,8,13,1.558616155533795,0
8,8,45,0.3637213858560586,1
8,8,54,-0.021078865990555837,0
8,8,75,1.3541350298972856,0
8,8,50,-1.6075871386062153,0
8,8,94,-1.7691303452701959,0
8,8,44,0.08004469771347147,0
9,9,74,0.0235045858853947,0
9,9,88,0.553776977863366,1
9,9,7,-0.4904835914786814,0
9,9,47,-0.37443660019278063,1
9,9,84,-2.397503976138816,0
9,9,28,1.5410299832779386,0
9,9,17,-1.2656005376012107,0
10,10,5,1.7879796324557498,0
10,10,91,-1.5533423394310608,1
10,10,34,-0.3192978018201611,0
10,10,76,-0.21754548049047615,0
10,10,52,2.6377912107038637,0
10,10,82,1.4311837522545638,0
10,10,65,0.5927584465506688,0
10,10,51,0.2885813223432078,1
10,10,57,-0.5425795169067793,0
10,10,71,-0.025348902062768783,1
10,10,57,-0.28755244928410806,1
10,10,87,0.9244428673433661,0
10,10,18,-0.06124629986631457,0
10,10,5,0.9959929702457525,0
10,10,23,0.955557932627455,0
10,10,13,0.7138407711950433,0
11,11,53,0.13337096219412198,1
11,11,5,0.5762113757299434,0
11,11,72,0.45792584521691726,1
11,11,62,-0.5686630959283367,0
11,11,54,1.2549598401988313,0
11,11,23,2.003513432917899,0
12,12,87,-1.4065367657221088,0
12,12,83,-0.0856465101834218,0
12,12,72,-0.08934206682438015,1
12,12,95,1.0478468413543154,0
12,12,53,0.7791934246358139,0
12,12,48,0.6866241705550694,0
12,12,77,-0.7362037916263092,0
12,12,9,0.4619933194163558,0
12,12,9,-1.1267456626679617,0
13,13,54,-0.5621654533712314,1
13,13,67,0.585728622397448,0
13,13,72,-0.06247248014763448,0
13,13,58,2.032089383841437,0
13,13,59,0.903494513229304,0
13,13,56,0.47650089500415277,0
13,13,72,0.24270105354747454,0
14,14,75,0.30229797381339163,0
14,14,42,-1.3009464831912654,0
14,14,85,-0.3425837533908031,0
14,14,90,-1.9721036770111733,0
14,14,12,0.961459746330914,1
14,14,96,-0.6318512379886376,1
14,14,72,-1.0548431878157543,0
14,14,25,0.6689915699591681,0
14,14,88,-0.02402783455708592,0
14,14,91,0.9562546443480149,1
14,14,59,1.4489184884703021,1
15,15,29,-0.23833536546732603,0
15,15,71,1.9321781695813465,0
15,15,50,-0.22663229367683593,0
15,15,99,-0.923830720176923,1
15,15,59,0.35583899747282033,1
15,15,10,-1.2700634783862885,1
15,15,24,-0.19547241269675866,0
15,15,51,-0.4634193992174632,0
15,15,69,1.0877137365241412,0
15,15,24,0.43880126303439065,0
15,15,5,0.5029255176706321,0
15,15,35,-0.6313987783785193,0
15,15,37,0.5855993109298576,0
15,15,45,0.35280056010840655,0
16,16,58,-0.2732035754169831,1
16,16,42,-1.3408611896373703,1
16,16,66,-0.37905087719127634,0
16,16,98,1.1583248822710455,0
16,16,65,-0.4394763950531812,0
16,16,49,-1.0636438838474123,0
16,16,31,-1.620914102439741,0
17,17,72,-1.3573753135556799,0
17,17,48,-1.8492021170541488,0
17,17,56,0.7817224046173409,0
17,17,44,-1.3676439681882706,0
17,17,79,0.39224460674966094,0
17,17,86,1.291146926823712,0
17,17,86,-0.7874504548564201,1
17,17,1,1.0238501343058448,1
17,17,51,0.47584374496728216,0
17,17,5,0.13706281079339433,0
18,18,94,0.28795805221877957,0
18,18,98,0.1406971514394773,0
18,18,92,0.05791552285637743,1
18,18,77,1.8331113497017857,1
18,18,76,2.1033989810200695,0
18,18,82,0.07306352311968597,0
18,18,50,-0.6874853993925419,0
18,18,43,0.6972616320683116,0
18,18,97,1.151236755800463,1
18,18,69,-0.8112651698376878,0
18,18,95,-0.19838668994057684,1
18,18,93,-0.773295218182967,0
18,18,13,0.46360003944234346,0
18,18,57,-0.49066491252630934,0
18,18,79,0.3130918469360143,0
18,18,45,-0.5884908572234188,0
18,18,67,0.20316563389442746,0
18,18,15,1.6329959781426544,1
19,19,75,-0.5575485520244029,1
19,19,82,0.714331873507999,0
19,19,9,-0.48808573679390305,1
19,19,77,1.0052516072102493,0
